2023-10-03 15:42:20,923.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:20,924.Netflix_Producer.INFO Today is 2023-10-03 at 03:42 PM
2023-10-03 15:42:20,924.Netflix_Producer.INFO Running on: nt Windows 10
2023-10-03 15:42:20,925.Netflix_Producer.INFO Python version:  3.9.12
2023-10-03 15:42:20,926.Netflix_Producer.INFO Python path: C:\Users\alhal\miniconda3
2023-10-03 15:42:20,926.Netflix_Producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\Module07_Netflix
2023-10-03 15:42:20,926.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:20,944.Netflix_Producer.INFO  [x] Sent b'5/23/2002,1.196429014'
2023-10-03 15:42:20,952.Netflix_Producer.INFO  [x] Sent b'5/23/2002,1.156429052'
2023-10-03 15:42:20,960.Netflix_Producer.INFO  [x] Sent b'5/23/2002,104790000'
2023-10-03 15:42:21,974.Netflix_Producer.INFO  [x] Sent b'5/24/2002,1.210000038'
2023-10-03 15:42:21,981.Netflix_Producer.INFO  [x] Sent b'5/24/2002,1.21428597'
2023-10-03 15:42:21,987.Netflix_Producer.INFO  [x] Sent b'5/24/2002,11104800'
2023-10-03 15:42:23,004.Netflix_Producer.INFO  [x] Sent b'5/28/2002,1.157142997'
2023-10-03 15:42:23,014.Netflix_Producer.INFO  [x] Sent b'5/28/2002,1.213570952'
2023-10-03 15:42:23,023.Netflix_Producer.INFO  [x] Sent b'5/28/2002,6609400'
2023-10-03 15:42:24,043.Netflix_Producer.INFO  [x] Sent b'5/29/2002,1.103571057'
2023-10-03 15:42:24,052.Netflix_Producer.INFO  [x] Sent b'5/29/2002,1.164286017'
2023-10-03 15:42:24,058.Netflix_Producer.INFO  [x] Sent b'5/29/2002,6757800'
2023-10-03 15:42:25,071.Netflix_Producer.INFO  [x] Sent b'5/30/2002,1.071429014'
2023-10-03 15:42:25,077.Netflix_Producer.INFO  [x] Sent b'5/30/2002,1.107856989'
2023-10-03 15:42:25,082.Netflix_Producer.INFO  [x] Sent b'5/30/2002,10154200'
2023-10-03 15:42:26,096.Netflix_Producer.INFO  [x] Sent b'5/31/2002,1.076429009'
2023-10-03 15:42:26,104.Netflix_Producer.INFO  [x] Sent b'5/31/2002,1.078570962'
2023-10-03 15:42:26,111.Netflix_Producer.INFO  [x] Sent b'5/31/2002,8464400'
2023-10-03 15:42:27,124.Netflix_Producer.INFO  [x] Sent b'6/3/2002,1.128571033'
2023-10-03 15:42:27,131.Netflix_Producer.INFO  [x] Sent b'6/3/2002,1.080000043'
2023-10-03 15:42:27,138.Netflix_Producer.INFO  [x] Sent b'6/3/2002,3151400'
2023-10-03 15:42:28,161.Netflix_Producer.INFO  [x] Sent b'6/4/2002,1.117856979'
2023-10-03 15:42:28,173.Netflix_Producer.INFO  [x] Sent b'6/4/2002,1.135714054'
2023-10-03 15:42:28,178.Netflix_Producer.INFO  [x] Sent b'6/4/2002,3105200'
2023-10-03 15:42:29,192.Netflix_Producer.INFO  [x] Sent b'6/5/2002,1.147143006'
2023-10-03 15:42:29,203.Netflix_Producer.INFO  [x] Sent b'6/5/2002,1.110713959'
2023-10-03 15:42:29,208.Netflix_Producer.INFO  [x] Sent b'6/5/2002,1531600'
2023-10-03 15:42:30,231.Netflix_Producer.INFO  [x] Sent b'6/6/2002,1.182142973'
2023-10-03 15:42:30,239.Netflix_Producer.INFO  [x] Sent b'6/6/2002,1.149999976'
2023-10-03 15:42:30,244.Netflix_Producer.INFO  [x] Sent b'6/6/2002,2305800'
2023-10-03 15:42:31,262.Netflix_Producer.INFO  [x] Sent b'6/7/2002,1.118571043'
2023-10-03 15:42:31,271.Netflix_Producer.INFO  [x] Sent b'6/7/2002,1.177857041'
2023-10-03 15:42:31,279.Netflix_Producer.INFO  [x] Sent b'6/7/2002,1369200'
2023-10-03 15:42:32,304.Netflix_Producer.INFO  [x] Sent b'6/10/2002,1.156429052'
2023-10-03 15:42:32,314.Netflix_Producer.INFO  [x] Sent b'6/10/2002,1.13499999'
2023-10-03 15:42:32,322.Netflix_Producer.INFO  [x] Sent b'6/10/2002,484400'
2023-10-03 15:42:33,339.Netflix_Producer.INFO  [x] Sent b'6/11/2002,1.15357101'
2023-10-03 15:42:33,349.Netflix_Producer.INFO  [x] Sent b'6/11/2002,1.156429052'
2023-10-03 15:42:33,355.Netflix_Producer.INFO  [x] Sent b'6/11/2002,1003800'
2023-10-03 15:42:34,381.Netflix_Producer.INFO  [x] Sent b'6/12/2002,1.092857003'
2023-10-03 15:42:34,391.Netflix_Producer.INFO  [x] Sent b'6/12/2002,1.15357101'
